"SNP" "perm_var" "beta"
"1" "SNP1" 0.0241387894588313 -0.0357690469493136
"2" "SNP1" 0.0183837033100174 -0.169972577455466
"3" "SNP1" 0.0328388787284841 0.410176133159027
"4" "SNP1" 0.0234367841440852 0.353014243522315
"5" "SNP1" 0.0250029784586474 -0.0501849577883688
"6" "SNP1" 0.0233549290093172 -0.0630475450742803
"7" "SNP1" 0.0231116208144263 0.099139977826038
"8" "SNP1" 0.0196496213697822 -0.0676961435060084
"9" "SNP1" 0.0267098732735 -0.0912890955723121
"10" "SNP1" 0.025321993616429 0.0646243698434798
"11" "SNP1" 0.0234235803327518 -0.111587958650058
"12" "SNP1" 0.0273734741206323 -0.144440922160585
"13" "SNP1" 0.0262439842347605 -0.0424482020322976
"14" "SNP1" 0.0285128975543267 0.0705608901067524
"15" "SNP1" 0.0310903746486145 -0.0885791216466147
"16" "SNP1" 0.0306491645001352 -0.0871608699819899
"17" "SNP1" 0.0280037101285221 0.361595482509405
"18" "SNP1" 0.023304110753281 -0.0424733873758053
"19" "SNP1" 0.023215491398626 0.0287723577445051
"20" "SNP1" 0.0241024583310045 -0.0248098227265209
"21" "SNP1" 0.0217577027340941 -0.257883683643034
"22" "SNP1" 0.0310850735667746 0.237562744958318
"23" "SNP1" 0.0248370940788353 -0.0379034852654577
"24" "SNP1" 0.0246738899742015 0.0524099533023023
"25" "SNP1" 0.0206741219442327 0.1662378835414
"26" "SNP1" 0.0206926222215614 0.0298593713296569
"27" "SNP1" 0.0279610371122997 -0.0708676911283889
"28" "SNP1" 0.017056513752554 -0.12681750068586
"29" "SNP1" 0.0278819404123185 -0.179574489317515
"30" "SNP1" 0.0247467550188797 0.271636803108034
"31" "SNP1" 0.0257971637988401 -0.164186036710871
"32" "SNP1" 0.0253544221716313 -0.0817603954119325
"33" "SNP1" 0.018491713423627 0.220339118829706
"34" "SNP1" 0.0206869870167709 -0.235832508370907
"35" "SNP1" 0.0278382804669351 -0.0301084999911108
"36" "SNP1" 0.0216534807446184 -0.0476847295294996
"37" "SNP1" 0.0270477489530146 -0.307099813686366
"38" "SNP1" 0.0204881160348412 -0.0218992117937857
"39" "SNP1" 0.018889194725657 0.18622150753265
"40" "SNP1" 0.027396166382709 -0.0409023305765349
"41" "SNP1" 0.028120112037902 -0.178420663741268
"42" "SNP1" 0.0221535153268938 -0.163442938849669
"43" "SNP1" 0.0255470987815883 0.32952589592127
"44" "SNP1" 0.0237832425399654 0.0658620352812262
"45" "SNP1" 0.0287891633831748 -0.28777972829804
"46" "SNP1" 0.0255657953095474 -0.402401801223643
"47" "SNP1" 0.0285086184675983 -0.098978375123799
"48" "SNP1" 0.0277560346768939 0.0327823388228562
"49" "SNP1" 0.0233018448441886 0.261102768407827
"50" "SNP1" 0.0330970934791049 0.496552748051125
"51" "SNP1" 0.033834385872782 -0.203285870701834
"52" "SNP1" 0.0254390340436464 0.0581473490006089
"53" "SNP1" 0.0198811517935659 -0.0613125433071664
"54" "SNP1" 0.0261977237162402 0.364321283128793
"55" "SNP1" 0.0242019776029495 -0.0229029473331497
"56" "SNP1" 0.0251183577873324 -0.183217146934518
"57" "SNP1" 0.0249589288265971 0.190611515154651
"58" "SNP1" 0.0244597955489339 -0.181889971097658
"59" "SNP1" 0.0210294061190237 -0.0116251251199891
"60" "SNP1" 0.023293318302154 -0.0116332819090251
"61" "SNP1" 0.0269740619163817 0.0310161312727375
"62" "SNP1" 0.0266062834900306 -0.159016063416525
"63" "SNP1" 0.0176974860928894 -0.0448300339714896
"64" "SNP1" 0.0223761844801625 -0.115362653107583
"65" "SNP1" 0.022629906882208 0.299032237339463
"66" "SNP1" 0.0259574145199932 -0.0983863429666282
"67" "SNP1" 0.0283053497182103 -0.321801506389686
"68" "SNP1" 0.0210075557933228 0.118007025509579
"69" "SNP1" 0.0303653919204865 0.0640348504032568
"70" "SNP1" 0.0288517685181475 -0.117796259934565
"71" "SNP1" 0.0343258268249686 0.308228041933302
"72" "SNP1" 0.0233472706294003 0.0909618253189955
"73" "SNP1" 0.0241326622190382 0.0667606653980094
"74" "SNP1" 0.0242416265759469 0.0291816176519518
"75" "SNP1" 0.0211327652809305 0.164945872225969
"76" "SNP1" 0.0236516321689081 0.154061694801383
"77" "SNP1" 0.0197816004668966 -0.0836005062046511
"78" "SNP1" 0.0217244042784287 0.01377804276933
"79" "SNP1" 0.0363135779237784 -0.309663093227581
"80" "SNP1" 0.0232442123202958 0.465313188306318
"81" "SNP1" 0.02223550018902 -0.0250075061983078
