"SNP" "perm_var" "beta" "maf" "true_var" "perm_bias"
"1" "SNP1" 0.00881382093425829 -0.0818037177836921 0.05 0.00962368421052632 -0.000809863276268025
"2" "SNP1" 0.00904037834463538 -0.031264509883939 0.05 0.00962368421052632 -0.000583305865890936
"3" "SNP1" 0.00889652729634031 0.00379948169753899 0.05 0.00962368421052632 -0.000727156914186006
"4" "SNP1" 0.0100210187714423 0.0120564160729505 0.05 0.00962368421052632 0.000397334560915985
"5" "SNP1" 0.0101366686722845 -0.00665173600692068 0.05 0.00962368421052632 0.000512984461758185
"6" "SNP1" 0.0107906580413436 0.0494334500038759 0.05 0.00962368421052632 0.00116697383081728
"7" "SNP1" 0.0103734585183489 -0.0173014342584757 0.05 0.00962368421052632 0.000749774307822585
"8" "SNP1" 0.0102574752770867 -0.21746082902104 0.05 0.00962368421052632 0.000633791066560384
"9" "SNP1" 0.0104378392587348 0.0579193969228269 0.05 0.00962368421052632 0.000814155048208485
"10" "SNP1" 0.01031685619144 -0.00416538494741196 0.05 0.00962368421052632 0.000693171980913685
"11" "SNP1" 0.0106644835292119 0.125264702948345 0.05 0.00962368421052632 0.00104079931868559
"12" "SNP1" 0.00863421804708619 0.0936537293774678 0.05 0.00962368421052632 -0.000989466163440126
"13" "SNP1" 0.00960317078504915 -0.153984562778312 0.05 0.00962368421052632 -2.05134254771654e-05
"14" "SNP1" 0.00988677352629226 0.0883901098542178 0.05 0.00962368421052632 0.000263089315765944
"15" "SNP1" 0.0104442266211815 0.0465012591970753 0.05 0.00962368421052632 0.000820542410655184
"16" "SNP1" 0.00890045285393815 -0.0655453622384484 0.05 0.00962368421052632 -0.000723231356588165
"17" "SNP1" 0.0102694341225218 0.116136091113016 0.05 0.00962368421052632 0.000645749911995484
"18" "SNP1" 0.00864064131296981 0.0864263971999008 0.05 0.00962368421052632 -0.000983042897556505
"19" "SNP1" 0.00902533715625226 -0.0323188599966789 0.05 0.00962368421052632 -0.000598347054274055
"20" "SNP1" 0.0107184839747759 0.104077310150906 0.05 0.00962368421052632 0.00109479976424958
"21" "SNP1" 0.0093390460125095 0.160739446045153 0.05 0.00962368421052632 -0.000284638198016815
"22" "SNP1" 0.0106346236670573 -0.0186749697608077 0.05 0.00962368421052632 0.00101093945653098
"23" "SNP1" 0.0102286071978742 -0.0999363531382437 0.05 0.00962368421052632 0.000604922987347885
"24" "SNP1" 0.0102700343111194 -0.0484050992569353 0.05 0.00962368421052632 0.000646350100593085
"25" "SNP1" 0.00878094027850825 -0.121910060316747 0.05 0.00962368421052632 -0.000842743932018065
"26" "SNP1" 0.00890205691108575 -0.0568690035114472 0.05 0.00962368421052632 -0.000721627299440565
"27" "SNP1" 0.00953656646623638 0.0231098578436414 0.05 0.00962368421052632 -8.71177442899364e-05
"28" "SNP1" 0.00994751637261744 -0.0530376101911446 0.05 0.00962368421052632 0.000323832162091125
"29" "SNP1" 0.0089645964315838 0.108854768257278 0.05 0.00962368421052632 -0.000659087778942516
"30" "SNP1" 0.011195600762757 0.118021390241425 0.05 0.00962368421052632 0.00157191655223068
"31" "SNP1" 0.00900550613584993 0.0918461048767602 0.05 0.00962368421052632 -0.000618178074676385
"32" "SNP1" 0.0104764234175375 -0.00193919732073573 0.05 0.00962368421052632 0.000852739207011184
"33" "SNP1" 0.00939203590852657 -0.313040100058155 0.05 0.00962368421052632 -0.000231648301999746
"34" "SNP1" 0.0104548697268452 -0.0224809524514624 0.05 0.00962368421052632 0.000831185516318885
"35" "SNP1" 0.00882639293714596 -0.0390898927571597 0.05 0.00962368421052632 -0.000797291273380355
"36" "SNP1" 0.00921931842627239 -0.100907935669042 0.05 0.00962368421052632 -0.000404365784253926
"37" "SNP1" 0.00927479692959278 0.0936041046488712 0.05 0.00962368421052632 -0.000348887280933536
"38" "SNP1" 0.00920833427222651 -0.0182530449467354 0.05 0.00962368421052632 -0.000415349938299805
"39" "SNP1" 0.00709428021645227 -0.0522820639223517 0.05 0.00962368421052632 -0.00252940399407405
"40" "SNP1" 0.00874307371029798 -0.0970265121823228 0.05 0.00962368421052632 -0.000880610500228335
"41" "SNP1" 0.00967392674499818 -0.00580197918559778 0.05 0.00962368421052632 5.0242534471865e-05
"42" "SNP1" 0.00932794430540791 0.0996317183788262 0.05 0.00962368421052632 -0.000295739905118405
"43" "SNP1" 0.00867529894520971 -0.0869792882844287 0.05 0.00962368421052632 -0.000948385265316605
"44" "SNP1" 0.00936230152318811 -0.109372877782279 0.05 0.00962368421052632 -0.000261382687338205
"45" "SNP1" 0.0104613390162498 -0.11556740418919 0.05 0.00962368421052632 0.000837654805723485
