"SNP" "perm_var" "beta"
"1" "SNP1" 0.00366926451832323 -0.0686320583422855
"2" "SNP1" 0.0038044029463193 0.0287787302249199
"3" "SNP1" 0.00396922800796648 0.0266235007735555
"4" "SNP1" 0.00373081059404294 -0.0264169193887545
"5" "SNP1" 0.00354703189650558 0.0441978410862364
"6" "SNP1" 0.00391685366299751 0.145024524790589
"7" "SNP1" 0.00383094754670032 -0.0234398231699412
"8" "SNP1" 0.00370902093396646 -0.0929378535091908
"9" "SNP1" 0.00367402402971423 0.115592737239318
"10" "SNP1" 0.00404522366158926 -0.0368486158163251
"11" "SNP1" 0.00390067035579657 0.034159114268125
"12" "SNP1" 0.00373957200819783 -0.0227441221959596
"13" "SNP1" 0.00346694653262673 -0.0646808287058621
"14" "SNP1" 0.00379989350386787 0.0484809859116429
"15" "SNP1" 0.00342177167597416 -0.022509742066172
"16" "SNP1" 0.0034465926968082 -0.055402956664324
"17" "SNP1" 0.00429895253814645 0.0403675347839502
"18" "SNP1" 0.00349586032445992 0.0495632396597874
"19" "SNP1" 0.00397571779519481 0.00372618270572849
"20" "SNP1" 0.00384580013417882 0.0294689117496801
"21" "SNP1" 0.003863713176031 0.0907692147128546
"22" "SNP1" 0.00403328674888965 -0.01072296546422
"23" "SNP1" 0.00396942042898659 -0.00758421167037146
"24" "SNP1" 0.00376001823302832 0.0514448703917967
"25" "SNP1" 0.00314820182474058 0.0103576302911503
"26" "SNP1" 0.00389517381034226 -0.012873133244275
"27" "SNP1" 0.00383820128553761 0.0403701967291003
"28" "SNP1" 0.00393571593175923 0.014123631987962
"29" "SNP1" 0.00345901036848033 0.0750405129331566
"30" "SNP1" 0.00419055292333931 -0.0216512112319977
"31" "SNP1" 0.00343966030461862 0.0529509877421608
"32" "SNP1" 0.00374111576791188 0.104561182806269
"33" "SNP1" 0.00381043402052687 -0.138485708121848
"34" "SNP1" 0.00356318360931281 0.0524809821631823
"35" "SNP1" 0.00358506731223966 0.00663362162970556
"36" "SNP1" 0.00352459029397948 -0.0408959303620683
"37" "SNP1" 0.00403211031144359 0.0571315169805982
"38" "SNP1" 0.00366604814068377 0.0158285819461221
"39" "SNP1" 0.0032447776781347 -0.000575031371596023
"40" "SNP1" 0.00370166618071432 0.0207923841146614
"41" "SNP1" 0.00334113141178879 -0.0224392601547506
"42" "SNP1" 0.0042625681509417 0.0300495670350883
"43" "SNP1" 0.00324863246191772 -0.060522301518529
"44" "SNP1" 0.00368650323844352 -0.0419075797235617
"45" "SNP1" 0.00341169078537207 0.0449740073050097
"46" "SNP1" 0.00393875550677956 0.0192161499108028
"47" "SNP1" 0.00403292310371235 -0.0426871475476435
"48" "SNP1" 0.00355262412957866 -0.0507610075843311
"49" "SNP1" 0.00334548826554382 0.0234545491914164
"50" "SNP1" 0.00391504419441968 0.0787200305065864
"51" "SNP1" 0.00417057647910156 -0.00637785989173221
"52" "SNP1" 0.0038162423935255 -0.0286454804711368
"53" "SNP1" 0.00369541476418969 0.0414341887968404
"54" "SNP1" 0.00352908625219722 0.00699768366096389
"55" "SNP1" 0.00380063961328096 0.0670754391386636
"56" "SNP1" 0.00366167091604735 0.157281121349773
"57" "SNP1" 0.0037200436358803 0.0307211595869908
"58" "SNP1" 0.00363303580535367 0.0384171121314287
"59" "SNP1" 0.00403151088070697 0.0875555234604258
"60" "SNP1" 0.00378016599761914 0.0557963646602013
"61" "SNP1" 0.00350955748770199 -0.0323403293467832
"62" "SNP1" 0.00409259387891576 -0.0281943171805132
