"SNP" "perm_var" "beta"
"1" "SNP1" 0.00335364266110135 0.87339626498911
"2" "SNP1" 0.00389356269975637 1.08966298568191
"3" "SNP1" 0.00365609472868413 0.981194474973247
"4" "SNP1" 0.00330021652131276 0.984498134853791
"5" "SNP1" 0.00337104846526954 1.07573506035152
"6" "SNP1" 0.00386442318843669 1.12267344801322
"7" "SNP1" 0.00332628067920211 0.96563178291951
"8" "SNP1" 0.00324242363442277 0.982971770675925
"9" "SNP1" 0.00372478710539582 1.06879473335204
"10" "SNP1" 0.00371435206014342 0.903840645980696
"11" "SNP1" 0.00332652057145499 1.02055953750977
"12" "SNP1" 0.00335150438819788 0.985428506195563
"13" "SNP1" 0.00322942288352308 0.946369436293363
"14" "SNP1" 0.00367617581629476 1.05351892932266
"15" "SNP1" 0.00343017551996768 0.987911527501311
"16" "SNP1" 0.00313297381717629 0.939844557563564
"17" "SNP1" 0.00331199928600908 1.00474781226887
"18" "SNP1" 0.00309572863011723 1.03769819315983
"19" "SNP1" 0.0034558644242324 1.00089803676646
"20" "SNP1" 0.00362881983217115 1.03765904495388
"21" "SNP1" 0.00356649062773344 1.0141822665867
"22" "SNP1" 0.00376990666935106 1.04457478573212
"23" "SNP1" 0.00321549664564383 0.977332673451461
"24" "SNP1" 0.00380572395995805 1.07932869376077
"25" "SNP1" 0.00331357075227312 1.00058950657273
"26" "SNP1" 0.00309059455355272 1.00254891841749
"27" "SNP1" 0.0038744822080559 1.07497134980457
"28" "SNP1" 0.00348126153879285 0.957399454878834
"29" "SNP1" 0.00323097802970713 1.02225399516543
"30" "SNP1" 0.00349563954487237 1.03173083821816
"31" "SNP1" 0.00333887445323763 1.00199679716827
"32" "SNP1" 0.00358177661015564 1.06960629000218
"33" "SNP1" 0.00309385578818655 0.927511810242724
"34" "SNP1" 0.00343289467186587 1.02990054361206
"35" "SNP1" 0.00352207810942212 1.04137186804137
"36" "SNP1" 0.00330469951914825 1.02572102091623
"37" "SNP1" 0.00391734676010562 1.05155061317023
"38" "SNP1" 0.0031294764296777 0.989523425227672
"39" "SNP1" 0.00350086866027225 1.03948885849774
"40" "SNP1" 0.0033983488837065 0.993891849187128
"41" "SNP1" 0.00329047903638197 0.953795180090732
"42" "SNP1" 0.00384707642667151 1.059205778606
"43" "SNP1" 0.00317902793287452 0.966751473565256
"44" "SNP1" 0.00331846789808347 1.0162041124032
"45" "SNP1" 0.00305108139515738 1.02434667341332
"46" "SNP1" 0.00329876527745611 1.02710175095884
"47" "SNP1" 0.00312780974948212 0.887885145994056
"48" "SNP1" 0.00303721033365323 0.904786370081498
"49" "SNP1" 0.00328630046879217 0.994100235355831
"50" "SNP1" 0.00340492155485241 1.0308700786322
"51" "SNP1" 0.00371765898995301 1.06713739135299
"52" "SNP1" 0.00340118104818822 0.976141497193678
"53" "SNP1" 0.00374075722548742 1.07504396307305
"54" "SNP1" 0.00359302929708897 0.972184647142146
"55" "SNP1" 0.0034181824340959 0.99168961955927
